loan_word;purist_equivalent
alteratie;veranderingh
altercatie;gekijf
alterceren;kijven
alternatie;wisselingh,walinge
alterneren;beurthouden,overhants doen
altus;hoogh,boven-zangh
amaritude;bitterheyd
amasseren;ophopen
amateur;liefhebber
ambages;omwegen
ambassadeur;Gesant,Hofgesant
ambidextre;slinx en reghts
ambiëren;na hengelen,om hengelen,vryen,begeren
ambigeren;twijfelen
ambulatie;wandelinge
amende;boete
ameniteyt;lieflijkheyd
amiable;lieflijck
amissie;verlies
amitteren;verliesen
ammunitie;toerustingh,oorloghs gereedtschap,Krijgs-tuygh
amodereren;middelen
amoliëren;wegh drijven,verdrijven,afwenden
amoveren;weren,weghdoen
amphibologie;twijfelreden,twijfel-zin,dubbelsinnigheyt
amphitheätrum;Schouw-burgh,ronden Schouw-burgh
ample;breedt,ruym,wijdlughtigh
amplecteren;omhelsen
ampliëren;verbreeden
amplificeren;breetmaken,uytbreeden
amputeren;besnoeyen,afsnoeyen
anabaptist;Herdoper
anagramma;even-letter-spreuck
analogie;evenredenheyd
anathematiseren;vervloecken
anatomie;ontledinge
androgijnen;Manwijven
angusteren;benaauwen,engen
angustie;enghte,bangigheyd
animadverteren;waarschouwen,behertigen,bevroeden
animeren;moedigen,moetgeven
animeux;moedigh
annecteren;anknopen,anheghten
annex;angeheght
annicheleren;vernietigen
annoteren;anteykenen
annuëren;toewencken,toeknicken
annulleren;vernietigen
annunciëren;verkondigen
antecederen;voorgaen,overtreffen
antecelleren;uytmunten,overtreffen
antecesseur;Voorsaat
anteponeren;voorstellen,voorsetten
anticipatie;voorkominge
anticiperen;voorkomen
antidateren;te vooren anteykenen
antipathie;afkeer,weersin
antiqueren;outmaken,weghdoen,afschaffen
antiquiteyt;outheydt
anualen;Jaarboecken
anxiëteyt;Anxiëtude,angst,benaautheyd,anghstvalligheyd
apertie;openinge
apologia;verantwoordingh,naamscherm,verdedigingh
apoplexie;popelsye,beroertheyt
apostaat;afvallige
apostasie;afval
aposteme;Apostumatie,swellinge,geswel
apostil;bescheyt,bescheyt-schrift
apozeme;kruyd-drank
appaiseren;bevredigen
apparent;ooghschijnlijck,schijnbaarlijck
apparentie;schijnbaarheyd
appareren;bereyden,verschijnen
appart;afgesondert,afgedeelt
appel;beroep
appellatie;beroepinge
appelleren;beroepen
appenderen;anhangen
appendix;anhangsel
appetijt;graagheyd
appingeren;anvoegen,afmalen,aanschilderen,opdichten
applauderen;vervrolijcken,prijsen,toejuyghgen
applicatie;toepassinge
appliceren;toepassen
appointement;besleghtinge
appointeren;spitsen,bestemmen,vergelijcken
apponeren;apposeren,bysetten
apporteren;bybrengen,toebrengen
appositie;bysettinge
appreciëren;waerdeeren,schatten
apprehenderen;vatten,bevatten
apprehensie;vattinge,begrijpinge
approbatie;goetkenninge
approberen;goedt kennen,goedt achten
approche;naardering,loopgragt
approcheren;naarderen
appropinqueren;genaken,naarderen
appropriëren;toe-eygenen
appuy;leening,steunsel
april;Grasmaant
apteren;voegen,passen
arbiter;Scheytsman,Seghsman,bemiddeler
arbitraal;beraadtsaam,wilkuerlijck,goedt-dunckende
arbitrage;bemiddelingh
arbitreren;bemiddelen,raadtslaan,beraatslaghen
arcenaal;Wapenhuys
arceren;weren,afweren,beletten,in-drijven
architectura;Bouw-konst
arcteren;beklemmen,benauwen
ardent;vyerigh,brandigh
arderen;branden
arguatie;bewijsinge,kibbelingh
arguëren;bewijsen,knibbelen
argument;bewijs,bewijsreden
ariditeyt;drooghte
aristocratie;der besten-regieringe
arithmetica;Telkonst
armade;krijghs-rustinge,krijghs-heyr
armeren;wapenen
aromatijck;welrieckende
arquebuse;Vyer-roer
arrectie;opstreckinge,oprechtinge,
arrest;beslagh,besluyt,bekommering
arresteren;besluyten,bekommeren,beslaan
arrideren;toelaghgen
arrigeren;opstrecken,oprechten
arriveren;ankomen,anlanden
arroderen;inbijten,knagen,beknabbelen
arrogant;beroemelijck,trots,vermeten
arrogeren;beroemen,vermeten
arrouseren;besproeyen
arterie;pols-ader,hert-ader
articule;lidt
artifice;konst-handel,konstgreep,konst
artillerie;geschut
ascendent;opgaande
ascenderen;klimmen,opgaan
ascensie;klimminge,opvaart,opstyginge
asijl;vryplaets
aspect;anschou
aspergeren;besprengen
asperneren;versmaden,veraghten
aspersie;besprenging
aspiciëren;anschouwen
aspiratie;toeblasinge,galm
aspireren;nae snacken,nae traghten,bejagen,op vlammen
assaut;anval
asscriberen;toeschrijven
assecteren;navolgen,bejagen
assembleren;vergaderen
assenteren;falivouwen,vleyen
assentiëren;mede-houden,toestemmen
assequeren;bekomen,verkrijgen
assereren;verdadigen,gestant doen
assersie;verdadiging,toestemmige
asserteur;verdadiger,verseeckeraer
asserveren;behoeden,bewaren
assesseur;bygevoeghde,bysitter
assignatie;anwijsinge
assigneren;anwijsen
assimileren;vergelijcken
assimuleren;mede-veynsen
assises;pleytdagen
assisteren;bystaan
associëren;verselschappen
assommeren;dootslaan,knellen,optellen
assopiëren;stillen,in slaap wiegen
assumeren;bynemen,annemen,toenemen
assumtie;bynemingh,annemingh,toenemingh
assureren;versekeren
astringeren;toeprangen,stoppen,vastmaken
astrologie;starre-leringe,starrekijkinge
astrologus;Astrologijn,starrekijcker
astronomie;starrekonst
astutie;schalckheyd,list
atheist;ongodtsdienstige,ongodtlijcke,ongodist,Godt-verlater
atrapperen;betrappen,achterhalen
atroos;fel,vinnigh,bits,grimmigh
attache;anheghtsel
attacheren;anheghten
attaqueren;anranden,aanrantsen
attenderen;toeluysteren,ophooren
attentaat;poginge,bestaen,bedrijf
attenteren;onderstaan,poghen,onderwinden,bedrijven
attentie;toeluysteringe
attenuëren;verdunnen,verkleynen
attesteren;betuygen
attingeren;bereycken,aenraken
attribuëren;toegeven,toe-eygenen
audacie;stoutheydt
audiëntie;gehoor
auditeur;anhoorder
auditorium;gehoor-plaats
aufereren;weghdragen,ontdragen
aufugeren;ontvlieden
augmenteren;vermeerderen
augustus;Oogstmaant
ausculteren;luysteren,gehoor gheven,toe-luysteren
austeriteyt;wrangheyd,stuursheyd,barsheydt
autentijck;geloofwaardigh,aghtbaar
authoriseren;gesagh-gheven,machtighen,achtbaar maken
authoriteyt;gesagh,gheloofwaerdigheydt,achtbaarheyd
auxiliëren;helpen,behulpigh zijn
avancement;voorderinge,bevoorderinge
avanceren;vorderen
avantage;voordeel
aventuur;geval
averseren;versmaden,afwenden
averteren;afwenden,omkeeren,ontwenden
avoceren;afstemmen
avonturen;wagen
bacchanalien;slemp-dagen
bagagie;reys-tuygh
bague;kleynoodt,juweel
baillu;Landtvooght
balance;Wage,weeghschaal
ballet;Dans-spel
bancqueroutier;banck-breker,achter-uyt-vaarder
banderolle;Vlagge,Vane
bandijt;Balling
baptiseren;Doopen
barbaar;woest,rouw
barbier;Baartscheerder
baron;Vryheer,Baanderheer
barriëre;scheyboom
bastard;oneghtelingh,Speelkind
bastillie;slot
bataille;slagh,veltslagh,of scheeps-strijdt
batement;klughtspel,klught
baterye;storm-kat
beatifiëren;geluksaligh maken,saligen
beatitude;geluksaligheyd
belliqueus;strijdbaar
benediceren;zeegenen
benedictie;zeegen,zeegeningh
beneficie;weldaat
benevolentie;goetwilligheyd
benigniteyt;goedertierenheyd
besoigne;werk
besoigneren;arbeyden,werken
bestiaal;Vee,dierlijck,beestelijck
bibliotheque;Boeck-kamer
billet;seel
billion;afgekeurt
biscuit;tweeback
blame;naamschendinge,eervlek
blameren;faamrooven,naamschenden
blandatie;gevley,vleyinghe,liefkoosinge
blandiëren;vleyen,liefkoosen
blasoen;veldt-teycken,wapen-schildt,zin-staal
blasphemeren;lasteren
blasphemie;laster,lasteringe
blocqueren;beschanssen,omcingelen
bombarde;grof geschut
bordeel;Hoerhuys
borduren;naald-wercken,sticken
brageren;proncken,pralen
brasalet;armkeeten,armring
braveren;trotsen
bresse;breuck,schaart,stormgat
brevier;verkortsel,kort begrijp
brigade;bende
brigantijn;roofjaght,roofschip
brusque;stuurs,bars
brutaal;onbeschoft,beestachtigh
buffet;reghtbank
buffon;bootsemaker,speel-geck
cabinet;geheymschat,juweel-kamer
cachet;zeegel
cadentie;neerganck
cadet;jonger soon
caduc;neervallig,vergancklijck,bouvalligh
cajoleren;snappen,snateren,snacken
calamiteyt;elendigheydt,gequel
calant;koop-vriendt
calculeren;rekenen
calefaciëren;koesteren,verwarmen,baakeren
calengeren;verklagen,optygen,betighten
calfatren;lappen,verhantselen
calliditeyt;doortraptheyd,loosheyt
calumnie;laster,lasteringe,schantvleck
calumnieren;lasteren,faamrooven,schantvlecken
campaigne;Velt,Veltleger
camperen;veltleegeren,leegeren
canaal;water-loop,goot
canaillie;gespuys,’t graauw
cancelleren;te niet doen
canon;regel,richtsnoer,regelmaat,regel-stuck,grof geschut
canonijck;regelmatigh
canoniseren;toeheyligen,inwyen,heyligen
capabel;vatbaar,ontfanghbaar,bevattelijck
capaciteyt;vatbaarheyd,begrip
capitaal;hooftsom,hooftsaack
capiteyn;Hooftman
capittel;hooftstuck,een Godtshuys
capitulatie;verdragh-stucken oft poincten,hooftstuck-deelingh
capricieux;hoofdigh,koppigh
captatie;bejagh,vattinge
capteren;bejagen,vatten
captie;Captiuncle,vattinge,begrijpinge
captieux;begrijpigh,vangaghtigh
captif;gevangen
captiveren;vatten,grijpen,vangen
carbonade;rooster-gebraedt,roostinge
carmen;vaers,rijm
carquant;halsbandt,halsketen,halsghewaad
carquois;pijl-koker
carresse;liefkosinge,onthael,gestreel
carresseren;liefkosen,onthalen,streelen
carveel;Boeyer
cassatie;afschaffinge
casseren;afschaffen,afdancken
casteel;Burgh
castigatie;tughtinge
castigeren;tughtigen
castratie;lubbinge
castreren;lubben
casuël;toevalligh,by geval
casus;geval
catalogus;naamtafel,naamceel
catharren;zinckingen
catholijck;algemeyn
cauteleux;schalck,leep
cauterie;brand-yser
cautie;hoede,goet-seker,borge
cavallerye;Ruyterye
cavallier;Ruyter
caveren;verhoeden,seker doen
cavillatie;kakelerye
cavilleren;kakelen,betatelen,vitsen
cedent;die afstant doet,afstaander
cederen;wijcken,afwijcken,afstaan
cedule;schuld-brief,ceel
celebratie;gedenck-pleginge,vyeringe
celebreren;gedenk-plegen,vyeren
celeren;verbergen
censeren;schatten
censeur;bestraffer,tuchtmeester
censure;bestraffinge
censureren;bestraffen
ceremonie;dienstpleginge,Kerk-gebruyck
ceremonieux;dienstplightigh
cerneren;zien,onderscheyden,ziften
ceroon;smeer-salf
certatie;wed-strijd,weddinge
certeren;wed-strijden,wedden
certeyn;seker,gewis
certificatie;verseekeringe
certificeren;seeker maken
certifiëren;verseekeren
certitude;seekerheyd,gewisheydt
cessatie;aflatinge,ophoudinge
cesseren;aflaten,ophouden
cessie;afstant
cessionaris;afstandt-houder,dien daer ’t bescheydt van afstant op houdt
character;sinteyken,merkletter,uytbeeltsel
chirographe;hantschrift
chiromantie;hant-kijkinge
chirurgie;wond-heelinge,heelkonst
chirurgijn;wond-heeler,hand-meester
cholera;galle
choor;Rey
ciborie;ouwel-kas
cicatrice;litteeken
ciment;steenkalck
circul;ring
circumferentie;Circuit,omganck,omtreck,ringh
circumfereren;omdraghen,omvoeren,om-ringen
circumflecteren;ombuygen,rondom buygen
circumligeren;rondom binden
circumlocutie;omsprake
circummuniëren;toerusten,omwallen
circumscriberen;omschrijven
circumspect;omsichtigh
circumspiciëren;omhersien
circumstantie;omstandigheyt
circumvideren;omhersien
circuncideren;besnijden
circuncisie;besnijdinge
circunderen;omringen
circunduceren;omleyden
circunflueren;omvloeyen,omvlieten
circunponeren;omsetten
circunraderen;omschaven
circunveniëren;ondergaen,verstricken
circunventie;onderganinge,bedrogh,verstrickinge
cisterne;reegenback
citadelle;Burght
citeren;dagen,daghvaarden
civil;burgerlijck,heusch
clameren;schreuwen
clameur;geschreeu
clamiteren;seer schreeuwen
clandestin;heymelijck
clareren;verlichten,helderen
clarificeren;klaar maken
claudiceren;hincken,mankgaan
clausule;slot,besluyt
clementie;saghtmoedigheyd
cliëntele;menighte
climaat;lughtstreke,gewest
clisterie;spuyte
coadjureren;mede-helpen
coaguleren;runnen,stremmen
codicil;onvolkomen uytterste wil
coërceren;bedwingen
cogitatie;peynsinge,besinninge,betraghtinge,gedachte
cogiteren;peynsen,besinnen,betraghten,dencken
cognitie;kuntschap,kennisse
cohabitatie;bywoninge
cohabiteren;bywonen
cohiberen;bedwingen
cohorteren;anmanen
coleryc;heetbloedigh,galachtigh
coleur;verwe
colijc;krimpsel,buyckpijn
collaboreren;medewercken
collateraal;zijdeling,van gelijcken trap oft evenhooge
collatie;vergaderinge,t’samenspraak,vergelijckinge
collationeren;samen-brengen
collauderen;samen-loven
collectie;versaming
collegie;versamelinge
collideren;te samen-botsen
colligeren;te samen-binden,t’samen-gaderen,samen-rapen
colloquie;samenspraack
collucteren;t’samen-worstelen
colluderen;toekaatsen,samen spelen
colluëren;spoelen,anspoelen
collusie;toekaatsinge,samenspelinge
colonie;bewooninge
colum;pylaar,suyl
combat;geveght
combinage;samenvoeginge
combineren;samenvoegen,
comdemneren;doemen,verdoemen,veroordelen
comedie;schouwspel
comeet;staert-sterre
comitie;Landt-dagh,rijckx-dagh,daghvaard
commandement;gebodt,bevel
commanderen;gebieden,bevelen
commandeur;bevelhebber
commemoreren;herdencken,verhalen,vertellen
commensaal;disgenoot
commentarie;bedenkinge,overlegginge
commercie;koophandel,verhandeling
commigreren;verhuysen,sich nedersetten
commineren;dreygen
comminuëren;inslaan,toeslaan,kneusen,vermorselen
commisceren;vermengen
commiseratie;erberminge,deernis
commissaris;bevelhebber
commissie;bevel,last
commitigeren;vermorwen
committeren;bevel geven,bevelen,lasten,bedrijven
commodieux;ghemackelijck,gherieffelijck
commoditeyt;bequaamheyd,gemak,ghelegentheyt,gerijf
commotie;beroerte,beroeringe
communicatie;ghemeynschap,ghemeynmakinge
communie;gemeynschap
commuteren;mangelen,wisselen
compact;verbondt,verding
compaignie;geselschap,maatschap,krijgsbende
compaignon;ghesel,macker,maat,medegenoot
compareren;samen komen,verschijnen,vergelijcken
comparitie;samenkomste
compas;passer
compassie;meedelijden,meedogen,deernis
compatibel;meedelijdigh,lijdelijck,gedoogsaam
compeer;gevader
compelleren;toedrijven,aanklaghen,aanspreeken
compendie;verkortsel
compendieux;beknopt
compensatie;samengeldinge
compenseren;samengelden
competent;behoorlijk
competentie;behoorlijkheyd,behoorte
competeren;behooren
complaceren;gelieven,believen
complainte;beklagh
compleet;volkomen,voltooyt
complexie;aart,gesteltheyd
complice;macker,medepleeger
complimenten;eerdienstigheyden,dienstbiedingen,dienstreeden,gedienstigheyden
complimenteren;plight-plegen
complot;samenspanninge,anslagh,opstel
complotteren;samenspannen
comportement;voere,wandel,handel en wandel
comporteren;gedragen
composeren;samenstellen,toestellen,verdragen
compositie;samenstellinghe,toestellinghe,verdragh
comprehenderen;bevatten,begrijpen
comprehensie;bevattinge
compres;gedrongen,geperst
comprimeren;toeparssen,toedrucken
compromis;toeseggingh,verblijf,belofte
compromitteren;toeseggen,verblijven,beloven
comptoir;reken-kamer,reken-tafel,schrijf-kamer
compulsie;samendrift,toedrijvinge
computeren;rekenen,anrekenen
concederen;toestaen,bewilligen,toelaten
concept;begrip,ontwerp
concerneren;betreffen
concessie;toestaningh,toelatingh,bewilligingh
concidereren;insien,besinnen,aanmercken
conciërge;Hofwaghter
concilie;Raadts-vergaderinghen,Landt-dagh,Landraat
concilie;raatslagh,raat
conciliëren;bevredigen,versoenen
concipiëren;begrijpen,ontwerpen
concisie;doorsnijdinge
conciteren;aanporren,oproyen,aanprickelen
conclave;Kerck-kamer
concluderen;besluyten
concoctie;kokinge,verdouwinghe,verteeringh
concordantie;samen-stemminge,overeenstemminge
concorderen;overeenstemmen
concordie;eenstemmigheyd,eendraght
concreperen;uytbarsten
concubine;bysit
concupiscentie;begeerlijkheyd
concurrentie;samendeelinge,mededeelinge
concurreren;samenlopen,mededeelen
concussie;kneevelerye,knellinge,schrobbery
condescenderen;aftreden,inwilligen
conditie;bedingh,voorwaarde,bespreck,staat
conditioneel;met voorwaarde,met beding
condoleantie;leetbeklaginge,rouwklaght,rouwbeklaginge
condoleren;leetbeklagen,rouwbeklagen
condoneren;vergeven,toegeven
conducteur;leytsman
conductie;huur,verhuuringe
confabuleren;praten,samenpraten
confectie;toemakinghe,suyker-kost,suyker-werck
confederatie;verbontmakinge,bontgenootschap
confedereren;verbontmaken
conferentie;samen-sprake,samen-draght,reden-wisselinge
confereren;inbrenghen,samen-draghen,reden-wisselen
confesseren;belijden,bekennen,bieghten
confessie;belijdenisse,bieght
confidentie;vrymoedigheydt,vertrouwelijckheydt,onbeteutertheyt
confideren;Confiëren,betrouwen
configeren;door-rijgen
confijten;insulten
confineren;bepalen
confirmatie;bevestiging
confirmeren;bevestigen
confiscatie;verbeurt-makinge
confisqueren;verbeurt maken
confiture;suyker-werk,suycker-ghebak,insultinge
confonderen;verwarren,beschamen
conform;gelijckformigh
conformeren;vergelijcken
conformiteyt;gelijkformigheydt
confort;versterkinge
confrater;spits-broeder,meedebroeder
confringeren;verbreeken
confugeren;toevlught hebben,toevluchten
confugie;toevlught
confusie;verwarringe,beschaminge
confutatie;wederlegginge
confuteren;wederleggen
confuys;verwart,beschaamt
congeleren;stremmen,bevriesen
congereren;samen draghen,samen brenghen
congratuleren;begroeten,geluk wenschen
congregeren;versamelen
congruentie;ghevoeghlijckheyd,over-een-kominge
congruëren;gevoegen,over-een-komen
conjecture;gissinghe,raadtsel,raminghe
conjectureren;gissen,ramen
conjugeren;Conjungeren,samen-voeghen
conjunctie;samen-voeginge
conjuratie;samen-sweeringe
conjureren;samen-sweeren
connecteren;samen-knoopen
connexie;samen-knoopinge
conniventie;ooghluykinge
conniveren;ooghluycken
conquest;veroveringh,overwinst
conquesteren;veroveren
consacreren;toeheyligen,heyligen
consaluteren;begroeten,meedegroeten
consanguiniteyt;bloedtvriendtschap
conscientie;geweeten,gewisse
conscinderen;doorsnijden,doorhouwen,doorhacken
conscriberen;samenschrijven
conscriptie;samenschrijvinge
consent;bewilligingh,toestemmingh
consenteren;bewilligen toestemmen
consequentie;gevolgh
consequeren;vervolgen,verkrijgen,erlangen
conserveren;bewaren
considerabel;aanmercklijk,nadenckelijck
consideratie;insight,aanmerckinge
consignatie;onder-recht-legginge,verzegelinge
consigneren;verzeghelen,onder-recht-legghen
consiliëren;raatslaan,raatplegen
consisteren;bestaen
consistorie;Kerckenraat,Raatkamer
consolatie;vertroostinge
consoleren;verstroosten
consolidatie;heelinge,wond-heelingh,vermengingh van twee gerechtigheden
consolideren;vastmaken,genesen,heelen
consommatie;voleyndinge
consommeren;voleynden
consonant;meedeklincker
consoneren;meedeklincken
consort;meedestander,macker
conspiciëren;anschouwen
conspiratie;samen-spanninge,anspanninge
conspireren;samen-spannen,anspannen
constant;stantvastigh
constantie;stantvastigheyd
constellatie;samenkomst van sterren
constituëren;stellen,instellen
constitutie;stellinge,instellinge,ghesteltenisse
constrictie;bedwangh
constringeren;bedwingen,pranghen,pramen
constructie;bouwinge,beleyd
construëren;bouwen,beleggen
consul;Raatsheer
consuleren;beraden
consultatie;raatgevinge,raatpleeginge
consulteren;raatpleegen
consumeren;verdoen,verteeren,verslijten
contagie;besmettinge
contagieux;besmettelijck
contamineren;besmetten
contemneren;versmaden
contemplatie;overpeynsinge
contempleren;overpeynsen
contenantie;gelaat
contenderen;invaren,twisten,krackeelen,kijven,pleyt-anleggen
contentement;vernoegen,genoegen
contentie;twist,krackeel
contentieux;krackeeligh
contesteren;tegentuygen,beroepen opghetuygen
continent;onthoudend
continentie;inhoudinge,ingebondenheyt,onthouding
contineren;bevatten
contingentie;gebeurlijckheyt
contingeren;ghebeuren,betreffen,raacken
continuatie;anhoudinge,volherdinge,vervolgh
continuëren;anhouden,volherden
contorqueren;wringen,omwringen
contrabanderen;tegen-aanspannen
contract;overeenkominge,verdragh
contractant;onder-handelaar
contracteren;overeenkomen,verdraghen,onderhandelen
contradiceren;teegenseggen,teegenspreken
contradictie;teegenspraak
contraheren;over-een-komen,samen-handelen
contramanderen;afseggen
contrarie;teegendeeligh,strijdigh
contrariëren;teegenstreven
contrariëteyt;teegenheyt,strijdigheyd
contraveniëren;teegenkomen,overtreeden
contraventeur;overtreder
contraventeur;tegenstrever,overtreder
contremineren;tegenmijnen
contrerolleren;weer-schrijven,tegen-boeckhouden,tegenspreken
contrerolleur;tegen-rol-houder
contrescharp;bolwerck
contrey;Landtstreke
contribuëren;opbrengen,toebrengen
contributie;opbrenginge,schattinge
contristeren;bedroeven
controversie;redenstrijd,geschil,twist
controverteren;twisten,in gheschil trecken
contumatie;wrevel,halstarrigheydt,wrevelmoedigheyd
contumelie;schamperheyd
contumelieux;schamperachtigh
contunderen;kneusen
conturberen;beroeren
contusie;kneusinge
convalescentie;ghesont-werdinge,gesontheyd
convenant;verdragh
convenient;overeenkomende,gevoeglijck
conveniëren;overkomen,over-een-komen,voor-recht-dagen
convent;samen-komst,Klooster,samen-wooninge
conventicule;vergaaringsken
conventie;overkomst,aanspraack
conversatie;ommegang
converseren;ommegaan
conversie;bekeeringe
convicie;scheldinge
convictie;overwinninge
conviëren;nodigen
convinceren;overwinnen
conviveren;samen-eten,gastmalen
convoceren;samen-roepen
convolveren;omwentelen,samen-winden,inwickelen
convooy-gelt;verlof-gelt
convoqueren;samen-roepen
convoy;geley,vry-geley,geley-gelt
convulsie;kramp
copie;afschrift,uytschrift
copiëren;uytschrijven
copieux;ruym,rijckelijck,overvloedigh
cordiaal;hertelijck,openhertigh,gulhertig
corollarium;toe-mate
